,SL No (Common Name),Common Name,SL No (Products),Brand Name,Registration No,Registration Holder,Recommended Crops,Recommended Pests,Dosage Rate,Recommendations (Crop | Pest | Dosage),No. of Recommendations
,1,Abamectin,1,Vertimec 1.8EC,AP-890,Syngenta Bangladesh Limited,"Tea, Brinjal, Jujube, Litchi","Red spider mite, Mite",1.25 L/ha; 1.20 L/ha; 1.25 ml/L of water,"Tea | Red spider mite | 1.25 L/ha
Brinjal | Red spider mite | 1.20 L/ha
Jujube, Litchi | Mite | 1.25 ml/L of water",3
,1,Abamectin,2,Abom 1.8EC,AP-891,McDonald Crop Care Ltd.,"Tea, Rice, Brinjal","Red spider mite, BPH",500 ml/ha; 1.2 ml/L of water,"Tea | Red spider mite | 500 ml/ha
Rice | BPH | 500 ml/ha
Brinjal | Red spider mite | 1.2 ml/L of water",3
,1,Abamectin,3,Abatin 1.8EC,AP-1017,National AgriCare Import & Export Ltd,Cotton,Bollworm (Spotted & American),1250-1500 ml/ha,Cotton | Bollworm (Spotted & American) | 1250-1500 ml/ha,1
,1,Abamectin,4,Sunmectin 1.8EC,AP-1034,Auto Crop Care Limited,"Tea, Cotton, Rice, Brinjal","Red spider mite, Helopeltis (Mosquito bug), Bollworm, Aphid, Jassid, BPH, Red spider mites",1.25 L/ha; 1.20 L/ha; 1.50 L/ha; 1.0 L/ha; 1.20 ml/L of water,"Tea | Red spider mite | 1.25 L/ha
Tea | Helopeltis (Mosquito bug) | 1.20 L/ha
Cotton | Bollworm, Aphid, Jassid | 1.50 L/ha
Rice | BPH | 1.0 L/ha
Brinjal | Red spider mites | 1.20 ml/L of water",5
,1,Abamectin,5,Kraft 1.8EC,AP-1141,Oroni International Limited,Brinjal,Red spider mite,1.20 ml/L of water,Brinjal | Red spider mite | 1.20 ml/L of water,1
,1,Abamectin,6,Toptin 1.8EC,AP-1153,East West Chemicals Ltd.,Rice,BPH & Hispa,1.0 L/ha,Rice | BPH & Hispa | 1.0 L/ha,1
,1,Abamectin,7,Licar 1.8EC,AP-1206,Corbel International Limited,Rice,BPH & Hispa,1.0 L/ha,Rice | BPH & Hispa | 1.0 L/ha,1
,1,Abamectin,8,Ambush 1.8EC,AP-1241,Haychem (Bangladesh) Limited,"Tea, Rice, Brinjal","Red spider mite, BPH",1.25 L/ha; 1.0 L/ha; 1.20 ml/L of water,"Tea | Red spider mite | 1.25 L/ha
Rice | BPH | 1.0 L/ha
Brinjal | Red spider mite | 1.20 ml/L of water",3
,1,Abamectin,9,Lakad 1.8EC,AP-1282,Intefa,"Tea, Brinjal",Red spider mite,1.25 L/ha; 1.20 ml/Lof water,"Tea | Red spider mite | 1.25 L/ha
Brinjal | Red spider mite | 1.20 ml/Lof water",2
,1,Abamectin,10,Acamite 1.8EC,AP-1286,ACI Formulations Limited,"Tea, Rice","Red spider mite, BPH",1.25 L/ha; 1.00 L/ha,"Tea | Red spider mite | 1.25 L/ha
Rice | BPH | 1.00 L/ha",2
,1,Abamectin,11,Alba 1.8EC,AP-1467,SAMP Limited,Rice,"BPH, Hispa",1.00 L/ha,"Rice | BPH, Hispa | 1.00 L/ha",1
,1,Abamectin,12,Iprotin 1.8EC,AP-1509,Surovi Agro Industries Limited,Tea,Red spider mite,500 ml/ha,Tea | Red spider mite | 500 ml/ha,1
,1,Abamectin,13,Basket 1.8EC,AP-1553,Aama Green Care,"Rice, Tea","BPH, Red spider mite",1.00 L/ha; 500 ml/ha,"Rice | BPH | 1.00 L/ha
Tea | Red spider mite | 500 ml/ha",2
,1,Abamectin,14,Mectin 1.8EC,AP-1730,Agro Arena Associates Ltd.,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,15,Habamec 1.8EC,AP-1798,SAM Agro Chemical,Tea,Red spider mites,500 ml/ha,Tea | Red spider mites | 500 ml/ha,1
,1,Abamectin,16,Reximectin 1.8EC,AP-1917,Reximco Insecticides Limited,Tea,Red spider mites,500 ml/ha,Tea | Red spider mites | 500 ml/ha,1
,1,Abamectin,17,Crop Well 1.8EC,AP-2064,Active Crop Care Limited,Tea,Red spider mites,500 ml/ha,Tea | Red spider mites | 500 ml/ha,1
,1,Abamectin,18,Vectin 1.8EC,AP-2268,Aranya Crop Care Limited,"Brinjal, Rice","Red Spider mite, BPH",1.20 ml/L of water; 1.00 L/ha,"Brinjal | Red Spider mite | 1.20 ml/L of water
Rice | BPH | 1.00 L/ha",2
,1,Abamectin,19,Segatin 1.8EC,AP-2269,Nokon Limited,"Tea, Rice","Red spider mites, BPH",500 ml/ha; 1.00 L/ha,"Tea | Red spider mites | 500 ml/ha
Rice | BPH | 1.00 L/ha",2
,1,Abamectin,20,Avast 1.8EC,AP-2421,Croplife Agro Chemicals Ltd,Tea,Red spider mites,500 ml/ha,Tea | Red spider mites | 500 ml/ha,1
,1,Abamectin,21,Divine 1.8EC,AP-2422,Mosco Marketing Company,Tea,Red Spider Mite,500 ml/ha,Tea | Red Spider Mite | 500 ml/ha,1
,1,Abamectin,22,Benten 1.8EC,AP-2693,Mimpex Agrochemicals Limited,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,23,Suntec 1.8EC,AP-2694,Raven Agro Chemicals Limited,Brinjal,Red spider mite,1.20 ml/L of water,Brinjal | Red spider mite | 1.20 ml/L of water,1
,1,Abamectin,24,Tartar 1.8EC,AP-2989,Mamun Agro Products Ltd.,"Cotton, Tea","Aphid, Jassid, Bollworm, Red spider mite",1.50 L/ha; 500 ml/ha,"Cotton | Aphid, Jassid, Bollworm | 1.50 L/ha
Tea | Red spider mite | 500 ml/ha",2
,1,Abamectin,25,Greel 1.8EC,AP-2990,Padma Agro Sprayers Co.,Tea,Red Spider mite,500 ml/ha,Tea | Red Spider mite | 500 ml/ha,1
,1,Abamectin,26,Pmectin 1.8EC,AP-2992,Petrochem Agro Industries Ltd.,"Tea, Brinjal",Red Spider mite,500 ml/ha; 1.20 ml/L of water,"Tea | Red Spider mite | 500 ml/ha
Brinjal | Red Spider mite | 1.20 ml/L of water",2
,1,Abamectin,27,Bicotin 1.8EC,AP-2993,Bismillah Corporation Limited,Tea,Red Spider mite,500 ml/ha,Tea | Red Spider mite | 500 ml/ha,1
,1,Abamectin,28,Agrotin 1.8EC,AP-2994,Sara Chemicals Limited,Brinjal,Red spider mite,1.20 ml/L of water,Brinjal | Red spider mite | 1.20 ml/L of water,1
,1,Abamectin,29,Bona 1.8EC,AP-2995,Swazis International Ltd,Brinjal,Red spider mite,1.20 ml/L of water,Brinjal | Red spider mite | 1.20 ml/L of water,1
,1,Abamectin,30,Jarmitec 1.8EC,AP-2996,Sun Seed Pesticides,Brinjal,Red spider mite,1.20 ml/L of water,Brinjal | Red spider mite | 1.20 ml/L of water,1
,1,Abamectin,31,Abamex 1.8EC,AP-2997,Atherton Imbros Company Ltd.,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,32,Killmite Plus 1.8EC,AP-2998,Allwell Agrotech Ltd.,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,33,Agree 1.8EC,AP-2999,Amco Agricultural Industries,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,34,Choice 1.8EC,AP-3000,Bangladesh Agricultural Industries,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,35,Avid 1.8EC,AP-3001,Unicrop Protection Limited,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,36,Greenba 1.8EC,AP-3002,Green Bangla Agrovet Ltd.,Tea,Red Spider mite,500 ml/ha,Tea | Red Spider mite | 500 ml/ha,1
,1,Abamectin,37,B-Dayoo 1.8EC,AP-3003,Amana Agro Science,Tea,Red Spider mite,500 ml/ha,Tea | Red Spider mite | 500 ml/ha,1
,1,Abamectin,38,Demectin 1.8 EC,AP-3004,S S Agro Chemicals,"Cotton, Tea","Aphid, Jassid, Bollworm, Helopeltis",1.50 L/ha; 500 ml/ha,"Cotton | Aphid, Jassid, Bollworm | 1.50 L/ha
Tea | Helopeltis | 500 ml/ha",2
,1,Abamectin,39,Pafec 1.8EC,AP-3310,Pafs Agro International Co.,Tea,Red spider mite,500 ml/ha,Tea | Red spider mite | 500 ml/ha,1
,1,Abamectin,40,Hosot 1.8EC,AP-3311,China Agro,Tea,Red spider mite,500 ml/ha,Tea | Red spider mite | 500 ml/ha,1
,1,Abamectin,41,Fasal Max 1.8EC,AP-3312,Fasal Agro Industries Ltd,"Tea, Potato","Red spider mite, Aphid",500 ml/ha; 1.2 ml/Lof water,"Tea | Red spider mite | 500 ml/ha
Potato | Aphid | 1.2 ml/Lof water",2
,1,Abamectin,42,R-Batin 1.8EC,AP-3313,Popular Agro Industries,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,43,Vertex 1.8EC,AP-3314,Nahar Agro International,Jute,Yellow mite,1.20 L/ha,Jute | Yellow mite | 1.20 L/ha,1
,1,Abamectin,44,Kitten 1.8 EC,AP-3315,Prestige Agro Dragaon Ltd.,Jute,Yellow mite,1.20 L/ha,Jute | Yellow mite | 1.20 L/ha,1
,1,Abamectin,45,Lintec 1.8 EC,AP-3316,Seed Link Enterprise,Cotton,"Aphid, Jassid, Bollworm",620 ml/ha,"Cotton | Aphid, Jassid, Bollworm | 620 ml/ha",1
,1,Abamectin,46,Bletin 1.8EC,AP-3797,Blessing Agrovet Industries Ltd.,"Rice, Jute","BPH, Yellow mite",1.00 L/ha,"Rice | BPH | 1.00 L/ha
Jute | Yellow mite | 1.00 L/ha",2
,1,Abamectin,47,Player 1.8EC,AP-3798,Agro Systems Limited,Brinjal,Red spider mite,1.2 ml/Lof water,Brinjal | Red spider mite | 1.2 ml/Lof water,1
,1,Abamectin,48,Faithrin 1.8EC,AP-3799,Marshal Agrovet Chemical Industries Ltd.,Brinjal,Red spider mite,1.2 ml/Lof water,Brinjal | Red spider mite | 1.2 ml/Lof water,1
,1,Abamectin,49,G-Aba 1.8EC,AP-3800,One Agro Concern,Brinjal,Red spider mite,1.2 ml/Lof water,Brinjal | Red spider mite | 1.2 ml/Lof water,1
,1,Abamectin,50,Holometin 1.8EC,AP-3801,Global Agrovet Limited,Country Bean,Aphid,1.2 ml/Lof water,Country Bean | Aphid | 1.2 ml/Lof water,1
,1,Abamectin,51,Abaton 1.8EC,AP-3804,General Agro Chemicals Ltd,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,52,Tytin 1.8EC,AP-3805,Sweet Agrovet Limited,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,53,Desert Extra 1.8EC,AP-4125,Nature & Care Agro Products Ltd.,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,54,Nubumectin 1.8EC,AP-4127,Mallick Agro Industries,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,55,Greenectin 1.8EC,AP-4128,National Green Care,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,56,Acar 1.8EC,AP-4129,Agro Business Support Ltd.,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,57,Tonu 1.8EC,AP-4131,Mondol Traders,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,58,Toximite 1.8EC,AP-4132,Square Pharmaceuticals Limited,Tea,Red spider mite,500 ml/ha,Tea | Red spider mite | 500 ml/ha,1
,1,Abamectin,59,Border Plus 1.8EC,AP-4150,Kohinoor Agro Chemicals,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,60,Serfimectin 1.8EC,AP-4446,Serf Agro Industries,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,61,Kheya 1.8EC,AP-4447,Win Agro Limited,"Rice, Tea","BPH, Red spider mite",1.00 L/ha; 500 ml/ha,"Rice | BPH | 1.00 L/ha
Tea | Red spider mite | 500 ml/ha",2
,1,Abamectin,62,Albacin 1.8EC,AP-4448,Shynee Agro Industries,Rice,BPH,1.00 L/ha,Rice | BPH | 1.00 L/ha,1
,1,Abamectin,63,Sultan 1.8EC,AP-4450,Subarno Traders,Tea,Red spider mite,500 ml,Tea | Red spider mite | 500 ml,1
,1,Abamectin,64,Bestin 1.8EC,AP-4451,Agri Source Limited,Tea,Red spider mite,500 ml/ha,Tea | Red spider mite | 500 ml/ha,1
,1,Abamectin,65,Killpop 1.8EC,AP-4452,Sotota Agro Science,Tea,Red spider mite,500 ml/ha,Tea | Red spider mite | 500 ml/ha,1
,1,Abamectin,66,Gherao 1.8EC,AP-4453,Gurpukur Corporation,"Tea, Jute","Red spider mite, Yellow mite",500 ml/ha; 550 ml/ha,"Tea | Red spider mite | 500 ml/ha
Jute | Yellow mite | 550 ml/ha",2
,1,Abamectin,67,Makor 1.8EC,AP-4454,Advanced Agricultural Solution Ltd.,"Rice, Brinjal","BPH, Red spider mite",1.00 L/ha; 1.2 ml/L of water,"Rice | BPH | 1.00 L/ha
Brinjal | Red spider mite | 1.2 ml/L of water",2
,1,Abamectin,68,EG-Mectin 1.8EC,AP-4455,Evergreen Crop Care Limited,"Rice, Brinjal","BPH, Red spider mite",1.00 L/ha; 1.2 ml/L of water,"Rice | BPH | 1.00 L/ha
Brinjal | Red spider mite | 1.2 ml/L of water",2
,1,Abamectin,69,Abtin 1.8EC,AP-4456,Absolve Crop Care,"Tea, Jute","Red spider mite, Hairy caterpillar",500 ml/ha; 550 ml/ha,"Tea | Red spider mite | 500 ml/ha
Jute | Hairy caterpillar | 550 ml/ha",2
,1,Abamectin,70,Concord 1.8EC,AP-4457,Agro Private Company,Tea,Red spider mite,500 ml/ha,Tea | Red spider mite | 500 ml/ha,1
,1,Abamectin,71,Cleanmectin 1.8EC,AP-4458,Clean Agro,Brinjal,Red spider mite,1.2 ml/L of water,Brinjal | Red spider mite | 1.2 ml/L of water,1
,1,Abamectin,72,G-Mectin 1.8EC,AP-4862,GME Agro Limited,"Tea, Rice","Helopeltis, BPH",500 ml/ha; 1.0 L/ha,"Tea | Helopeltis | 500 ml/ha
Rice | BPH | 1.0 L/ha",2
,1,Abamectin,73,Vastin 1.8EC,AP-4864,Valent Tech Limited,"Tea, Brinjal","Red spider mite, Aphid",500 ml/ha; 1.2 ml/L of water,"Tea | Red spider mite | 500 ml/ha
Brinjal | Aphid | 1.2 ml/L of water",2
,1,Abamectin,74,Churanto 1.8EC,AP-4865,Jass Agro Limited,Tea,Red spider mite,500 ml/ha,Tea | Red spider mite | 500 ml/ha,1
,1,Abamectin,75,Jubel 1.8EC,AP-4866,Agro Aid International,Tea,Red spider mite,500 ml/ha,Tea | Red spider mite | 500 ml/ha,1
,1,Abamectin,76,Sacta 1.8EC,AP-4868,RiceCo International Bangladesh Ltd.,"Tea, Brinjal",Red spider mite,500 ml/ha; 1.2 ml/L of water,"Tea | Red spider mite | 500 ml/ha
Brinjal | Red spider mite | 1.2 ml/L of water",2
,1,Abamectin,77,Alatin 1.8EC,AP-4870,Agro Link BD,"Jute, Rice","Yellow mite, BPH",1.20 L/ha; 1.0 L/ha,"Jute | Yellow mite | 1.20 L/ha
Rice | BPH | 1.0 L/ha",2
,1,Abamectin,78,Abom Super 3EW,AP-4871,McDonald Bangladesh (Pvt) Limited,Tea,Red spider mite,500 ml/ha,Tea | Red spider mite | 500 ml/ha,1
